"eventTime","eventName","awsRegion","arn","type","requestParameters"
"2020-08-21T07:52:29Z","CreateUser","us-east-1","arn:aws:sts::811596193553:assumed-role/aws:ec2-instance/i-aa2d3b42e5c6e801a","AssumedRole","null"
"2020-08-21T07:49:02Z","CreateUser","us-east-1","arn:aws:sts::811596193553:assumed-role/aws:ec2-instance/i-aa2d3b42e5c6e801a","AssumedRole","null"
"2020-08-21T07:41:41Z","CreateUser","us-east-1","arn:aws:sts::811596193553:assumed-role/aws:ec2-instance/i-aa2d3b42e5c6e801a","AssumedRole","null"
"2020-04-18T14:43:59Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2020-03-04T20:06:40Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2019-09-30T06:36:15Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2019-09-30T06:36:10Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2019-09-17T07:28:01Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2019-09-16T15:09:27Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2019-08-21T07:41:26Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2019-08-21T07:41:26Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2019-08-21T07:41:22Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2019-08-21T07:41:22Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2019-03-27T07:02:39Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2019-03-27T07:02:39Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2019-02-24T00:49:53Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2019-02-24T00:49:53Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2018-12-08T02:56:55Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2018-12-08T02:56:43Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2018-11-26T09:15:52Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2018-11-26T09:15:52Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2018-11-26T09:15:52Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2018-10-02T16:22:36Z","CreateUser","us-east-1","arn:aws:iam::811596193553:root","Root","{""userName"":""tmp""}"
"2018-08-11T17:40:26Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2018-08-11T17:40:25Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2018-02-24T12:42:57Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2017-10-18T02:48:29Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2017-08-08T18:54:09Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2017-07-07T09:27:08Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2017-06-21T06:22:46Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2017-05-26T22:23:54Z","CreateUser","us-east-1","arn:aws:iam::811596193553:root","Root","{""userName"":""SecurityMokey""}"
"2017-05-16T03:03:56Z","CreateUser","us-east-1","arn:aws:iam::811596193553:root","Root","{""userName"":""piper""}"
"2017-04-06T14:45:34Z","CreateUser","us-east-1","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a","AssumedRole","null"
"2017-03-09T04:25:38Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2017-03-09T03:17:39Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/backup","IAMUser","null"
"2017-03-02T02:08:26Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2017-03-02T01:17:00Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2017-03-02T00:50:22Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2017-03-01T21:53:19Z","CreateUser","us-east-1","arn:aws:iam::811596193553:user/Level6","IAMUser","null"
"2017-02-26T23:11:16Z","CreateUser","us-east-1","arn:aws:iam::811596193553:root","Root","{""userName"":""Level6""}"
"2017-02-20T01:29:23Z","CreateUser","us-east-1","arn:aws:iam::811596193553:root","Root","{""userName"":""Level5""}"
"2017-02-19T20:04:19Z","CreateUser","us-east-1","arn:aws:iam::811596193553:root","Root","{""userName"":""Level5""}"
"2017-02-12T20:58:26Z","CreateUser","us-east-1","arn:aws:iam::811596193553:root","Root","{""userName"":""backup""}"
