"instance_type","count"
"i3.metal","34841"
"p2.16xlarge","18199"
"p2.8xlarge","14636"
"p2.xlarge","11675"
"m4.large","11644"
"r4.xlarge","11568"
"m3.xlarge","11510"
"m3.large","11487"
"m4.xlarge","11480"
"r3.large","11433"
"i3.large","11390"
"m5.large","11386"
"i3.xlarge","11371"
"c5.large","11362"
"c3.large","11318"
"m5d.large","11235"
"c5.xlarge","11211"
"x1e.xlarge","11207"
"c5d.large","11165"
"c3.xlarge","11164"
"r5d.large","11163"
"c4.large","11162"
"m5d.4xlarge","11148"
"i2.xlarge","11133"
"r5.large","11120"
"d2.xlarge","11116"
"m3.medium","11114"
"r3.xlarge","11076"
"m4.2xlarge","11045"
"r4.large","11039"
"m5d.xlarge","10978"
"r3.2xlarge","10976"
"p3.2xlarge","10949"
"r5d.xlarge","10924"
"m5.2xlarge","10919"
"g2.2xlarge","10847"
"z1d.large","10831"
"m3.2xlarge","10831"
"h1.2xlarge","10815"
"m5.xlarge","10801"
"c4.xlarge","10798"
"x1e.4xlarge","10774"
"x1e.2xlarge","10759"
"r4.4xlarge","10754"
"m4.4xlarge","10732"
"p3.8xlarge","10710"
"c5d.xlarge","10699"
"r5.2xlarge","10651"
"r4.2xlarge","10641"
"c4.2xlarge","10628"
"i3.4xlarge","10581"
"d2.2xlarge","10580"
"c5.2xlarge","10535"
"h1.4xlarge","10492"
"c5d.2xlarge","10482"
"m5.4xlarge","10477"
"r3.4xlarge","10462"
"z1d.xlarge","10444"
"c3.2xlarge","10438"
"c5.4xlarge","10427"
"z1d.3xlarge","10425"
"i2.2xlarge","10418"
"m5d.2xlarge","10418"
"r5d.2xlarge","10385"
"c3.4xlarge","10363"
"i2.4xlarge","10352"
"d2.4xlarge","10335"
"c4.4xlarge","10331"
"r5.xlarge","10316"
"z1d.2xlarge","10313"
"i3.8xlarge","10263"
"i3.2xlarge","10259"
"m5d.metal","10254"
"x1e.8xlarge","10197"
"c5.18xlarge","10165"
"c5d.4xlarge","10150"
"r5d.4xlarge","10114"
"r5.4xlarge","9918"
"h1.8xlarge","9849"
"r4.8xlarge","9783"
"i2.8xlarge","9657"
"g2.8xlarge","9646"
"d2.8xlarge","9536"
"r3.8xlarge","9492"
"x1e.32xlarge","9437"
"c3.8xlarge","9378"
"m4.10xlarge","9269"
"c4.8xlarge","9058"
"m5.12xlarge","9025"
"c5.9xlarge","8958"
"m5d.24xlarge","8932"
"z1d.6xlarge","8835"
"m5d.12xlarge","8766"
"p3.16xlarge","8729"
"m5.24xlarge","8685"
"c5d.9xlarge","8668"
"r5.12xlarge","8620"
"r5d.12xlarge","8599"
"x1.16xlarge","8554"
"x1e.16xlarge","8324"
"h1.16xlarge","8086"
"x1.32xlarge","8055"
"m4.16xlarge","7846"
"i3.16xlarge","7773"
"r4.16xlarge","7653"
"z1d.12xlarge","7362"
"c5d.18xlarge","6987"
"r5d.24xlarge","6732"
"r5.24xlarge","6576"
"m2.2xlarge","5795"
"m1.large","5692"
"m1.xlarge","5689"
"g3s.xlarge","5605"
"c1.medium","5512"
"m2.xlarge","5511"
"m1.medium","5491"
"m1.small","5480"
"c1.xlarge","5385"
"z1d.metal","5161"
"g3.16xlarge","5130"
"cr1.8xlarge","5025"
"g3.4xlarge","5014"
"m2.4xlarge","4987"
"f1.2xlarge","4971"
"f1.4xlarge","4930"
"hs1.8xlarge","4882"
"cc2.8xlarge","4819"
"g3.8xlarge","4610"
"m5.8xlarge","4417"
"m5d.16xlarge","4407"
"r5.8xlarge","4384"
"r5d.8xlarge","4352"
"m5d.8xlarge","4347"
"f1.16xlarge","4141"
"p3dn.24xlarge","3843"
"c5d.12xlarge","3838"
"p3","3812"
"c5.12xlarge","3758"
"c5.metal","3636"
"m5.16xlarge","3615"
"r5d.16xlarge","3484"
"m5.metal","3448"
"r5.16xlarge","3438"
"r5.metal","3179"
"p3dn","3172"
"r5d.metal","3160"
"c5d.metal","3125"
"c5.24xlarge","2923"
"c5d.24xlarge","2859"
"c5a.xlarge","64"
"c5a.2xlarge","64"
"m5n.2xlarge","64"
"c5n.2xlarge","64"
"c5n.xlarge","64"
"m5n.xlarge","62"
"c5n.large","57"
"c5a.large","57"
"m5a.2xlarge","56"
"m5a.large","55"
"m5a.xlarge","54"
"m5n.large","53"
"t2.2xlarge","47"
"t2.micro","39"
"m5a.24xlarge","8"
"t2.nano","6"
"t1.micro","6"
"t3a.2xlarge","5"
"t3.nano","4"
"t3.micro","1"
"t1.medium","1"
